,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,261.866,-2054.007697,229.7,12.28,48.76,82.38,0.00,1.00,0.00,0.00,0.00,257.31,257.31,10.73
1,95,conf-95,311.4521,-2053.865487,,26.25,137.99,233.16,0.00,,0.00,0.00,0.00,,,
2,156,conf-156,268.6004,-2053.997075,,14.48,55.42,93.65,0.00,,0.00,0.00,0.00,,,
3,190,conf-190,292.4408,-2053.861598,,21.45,140.43,237.29,0.00,,0.00,0.00,0.00,,,
4,305,conf-305,263.6993,-2054.052572,,12.89,20.60,34.80,0.00,,0.00,0.00,0.00,,,
5,306,conf-306,258.3998,-2054.052665,,11.11,20.54,34.71,0.00,,0.00,0.00,0.00,,,
6,448,conf-448,280.6358,-2054.002411,,18.15,52.07,87.99,0.00,,0.00,0.00,0.00,,,
7,472,conf-472,254.691,-2053.99571,,9.81,56.28,95.09,0.00,,0.00,0.00,0.00,,,
8,474,conf-474,271.6333,-2054.0711,,15.44,8.97,15.16,0.00,,0.00,0.00,0.00,,,
9,515,conf-515,257.3135,-2054.085397,,10.73,0.00,0.00,1.00,,1.00,257.31,257.31,,,
10,549,conf-549,265.3543,-2054.038804,,13.44,29.24,49.40,0.00,,0.00,0.00,0.00,,,
11,578,conf-578,265.0506,-2054.039111,,13.34,29.04,49.08,0.00,,0.00,0.00,0.00,,,
12,635,conf-635,257.5322,-2054.045473,,10.81,25.05,42.33,0.00,,0.00,0.00,0.00,,,
13,669,conf-669,262.1245,-2054.004942,,12.37,50.49,85.30,0.00,,0.00,0.00,0.00,,,
14,684,conf-684,268.5277,-2054.040019,,14.46,28.47,48.11,0.00,,0.00,0.00,0.00,,,
15,727,conf-727,290.7082,-2053.870697,,20.99,134.72,227.64,0.00,,0.00,0.00,0.00,,,
16,746,conf-746,257.8233,-2054.070534,,10.91,9.33,15.76,0.00,,0.00,0.00,0.00,,,
17,747,conf-747,272.2854,-2054.011496,,15.64,46.37,78.36,0.00,,0.00,0.00,0.00,,,
18,879,conf-879,270.3743,-2054.031048,,15.04,34.10,57.62,0.00,,0.00,0.00,0.00,,,
19,883,conf-883,268.9468,-2053.981404,,14.59,65.26,110.26,0.00,,0.00,0.00,0.00,,,
20,962,conf-962,243.4189,-2054.046058,,5.64,24.69,41.71,0.00,,0.00,0.00,0.00,,,
