,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,260.0112,-2053.912542,229.7,11.66,20.32,34.33,0.00,1.00,0.00,0.00,0.00,271.13,271.13,15.28
1,81,conf-81,259.4121,-2053.933818,,11.45,6.97,11.77,0.00,,0.00,0.00,0.00,,,
2,95,conf-95,289.7279,-2053.881842,,20.72,39.58,66.88,0.00,,0.00,0.00,0.00,,,
3,102,conf-102,292.9136,-2053.859828,,21.58,53.40,90.22,0.00,,0.00,0.00,0.00,,,
4,123,conf-123,271.1302,-2053.944921,,15.28,0.00,0.00,1.00,,1.00,271.13,271.13,,,
5,197,conf-197,270.48,-2053.909766,,15.08,22.06,37.27,0.00,,0.00,0.00,0.00,,,
6,205,conf-205,255.2051,-2053.891026,,9.99,33.82,57.14,0.00,,0.00,0.00,0.00,,,
7,242,conf-242,257.2615,-2053.919107,,10.71,16.20,27.37,0.00,,0.00,0.00,0.00,,,
8,293,conf-293,256.0266,-2053.918973,,10.28,16.28,27.51,0.00,,0.00,0.00,0.00,,,
9,302,conf-302,277.1954,-2053.870234,,17.13,46.87,79.19,0.00,,0.00,0.00,0.00,,,
10,428,conf-428,277.9285,-2053.920982,,17.35,15.02,25.38,0.00,,0.00,0.00,0.00,,,
11,549,conf-549,266.8716,-2053.900273,,13.93,28.02,47.34,0.00,,0.00,0.00,0.00,,,
12,602,conf-602,264.1387,-2053.91888,,13.04,16.34,27.61,0.00,,0.00,0.00,0.00,,,
13,684,conf-684,263.5389,-2053.919036,,12.84,16.24,27.45,0.00,,0.00,0.00,0.00,,,
14,747,conf-747,282.8908,-2053.882017,,18.80,39.47,66.69,0.00,,0.00,0.00,0.00,,,
15,772,conf-772,283.8982,-2053.905456,,19.09,24.76,41.84,0.00,,0.00,0.00,0.00,,,
16,883,conf-883,268.1511,-2053.907256,,14.34,23.63,39.93,0.00,,0.00,0.00,0.00,,,
17,962,conf-962,259.6627,-2053.920501,,11.54,15.32,25.89,0.00,,0.00,0.00,0.00,,,
18,966,conf-966,268.5656,-2053.927515,,14.47,10.92,18.45,0.00,,0.00,0.00,0.00,,,
