,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
8,446,conf-446,222.689,-1526.209255,203.2,8.75,4.33,7.32,0.00,1.15,0.00,0.15,0.13,264.20,228.99,11.26
11,538,conf-538,228.2387,-1526.204322,,10.97,7.43,12.55,0.00,,0.00,0.00,0.00,,,
18,962,conf-962,228.348,-1526.216163,,11.01,0.00,0.00,1.00,,0.87,228.35,197.92,,,
0,34,conf-34,228.824,-1526.204725,,11.20,7.18,12.13,0.00,,0.00,0.00,0.00,,,
7,231,conf-231,230.3383,-1526.185597,,11.78,19.18,32.41,0.00,,0.00,0.00,0.00,,,
10,474,conf-474,230.5156,-1526.19687,,11.85,12.11,20.46,0.00,,0.00,0.00,0.00,,,
5,156,conf-156,232.5786,-1526.207338,,12.63,5.54,9.36,0.00,,0.00,0.02,0.02,,,
15,879,conf-879,233.2379,-1526.214392,,12.88,1.11,1.88,0.15,,0.13,35.66,30.91,,,
1,95,conf-95,233.7781,-1526.206521,,13.08,6.05,10.22,0.00,,0.00,0.01,0.01,,,
14,807,conf-807,234.4544,-1526.193914,,13.33,13.96,23.59,0.00,,0.00,0.00,0.00,,,
6,222,conf-222,235.8822,-1526.200501,,13.86,9.83,16.61,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,236.7539,-1526.2073,,14.17,5.56,9.40,0.00,,0.00,0.02,0.02,,,
4,126,conf-126,236.8648,-1526.198626,,14.21,11.00,18.59,0.00,,0.00,0.00,0.00,,,
13,578,conf-578,237.2905,-1526.189813,,14.37,16.53,27.94,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,237.5851,-1526.201412,,14.47,9.26,15.64,0.00,,0.00,0.00,0.00,,,
16,883,conf-883,238.1989,-1526.182277,,14.69,21.26,35.93,0.00,,0.00,0.00,0.00,,,
3,123,conf-123,238.4282,-1526.201206,,14.78,9.39,15.86,0.00,,0.00,0.00,0.00,,,
17,950,conf-950,238.6762,-1526.20093,,14.86,9.56,16.15,0.00,,0.00,0.00,0.00,,,
12,549,conf-549,241.2712,-1526.198102,,15.78,11.33,19.15,0.00,,0.00,0.00,0.00,,,
