,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,265.8286,-2166.430604,234.5,11.79,0.00,0.00,1.00,1.01,0.99,265.83,262.90,268.70,265.74,11.76
1,102,conf-102,256.5555,-2166.372924,,8.60,36.19,61.16,0.00,,0.00,0.00,0.00,,,
2,156,conf-156,259.2655,-2166.399746,,9.55,19.36,32.72,0.00,,0.00,0.00,0.00,,,
3,197,conf-197,286.4499,-2166.363023,,18.14,42.41,71.65,0.00,,0.00,0.00,0.00,,,
4,288,conf-288,253.1868,-2166.38913,,7.38,26.02,43.97,0.00,,0.00,0.00,0.00,,,
5,315,conf-315,260.5275,-2166.394857,,9.99,22.43,37.90,0.00,,0.00,0.00,0.00,,,
6,472,conf-472,267.8406,-2166.383514,,12.45,29.55,49.93,0.00,,0.00,0.00,0.00,,,
7,474,conf-474,304.9183,-2166.366965,,23.09,39.93,67.48,0.00,,0.00,0.00,0.00,,,
8,497,conf-497,256.8561,-2166.376198,,8.70,34.14,57.69,0.00,,0.00,0.00,0.00,,,
9,535,conf-535,264.2486,-2166.358802,,11.26,45.06,76.13,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,259.8402,-2166.380218,,9.75,31.62,53.42,0.00,,0.00,0.00,0.00,,,
11,564,conf-564,244.4072,-2166.40045,,4.05,18.92,31.97,0.00,,0.00,0.00,0.00,,,
12,684,conf-684,258.013,-2166.426361,,9.11,2.66,4.50,0.01,,0.01,2.87,2.84,,,
13,746,conf-746,289.5676,-2166.364437,,19.02,41.52,70.16,0.00,,0.00,0.00,0.00,,,
14,752,conf-752,246.6395,-2166.41526,,4.92,9.63,16.27,0.00,,0.00,0.00,0.00,,,
15,876,conf-876,303.9541,-2166.345468,,22.85,53.42,90.27,0.00,,0.00,0.00,0.00,,,
16,879,conf-879,288.6397,-2166.362573,,18.76,42.69,72.13,0.00,,0.00,0.00,0.00,,,
17,883,conf-883,291.4811,-2166.356152,,19.55,46.72,78.94,0.00,,0.00,0.00,0.00,,,
18,962,conf-962,290.0003,-2166.361318,,19.14,43.48,73.46,0.00,,0.00,0.00,0.00,,,
