,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,264.1823,-1525.915174,203.5,22.97,172.43,291.36,0.00,1.00,0.00,0.00,0.00,234.22,233.41,12.82
1,81,conf-81,246.4393,-1525.944769,,17.42,153.86,259.98,0.00,,0.00,0.00,0.00,,,
2,102,conf-102,262.3005,-1525.886407,,22.42,190.48,321.86,0.00,,0.00,0.00,0.00,,,
3,123,conf-123,216.0569,-1526.184624,,5.81,3.35,5.67,0.00,,0.00,0.75,0.75,,,
4,156,conf-156,244.3286,-1525.964007,,16.71,141.79,239.58,0.00,,0.00,0.00,0.00,,,
5,197,conf-197,259.2237,-1525.901777,,21.50,180.84,305.56,0.00,,0.00,0.00,0.00,,,
6,234,conf-234,258.2703,-1525.876748,,21.21,196.54,332.10,0.00,,0.00,0.00,0.00,,,
7,304,conf-304,258.3775,-1525.945929,,21.24,153.13,258.75,0.00,,0.00,0.00,0.00,,,
8,448,conf-448,264.0809,-1525.885783,,22.94,190.88,322.52,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,252.4963,-1525.967135,,19.40,139.83,236.26,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,261.1236,-1525.842583,,22.07,217.98,368.32,0.00,,0.00,0.00,0.00,,,
11,584,conf-584,244.0374,-1525.946432,,16.61,152.82,258.21,0.00,,0.00,0.00,0.00,,,
12,610,conf-610,256.8514,-1525.877064,,20.77,196.35,331.76,0.00,,0.00,0.00,0.00,,,
13,727,conf-727,270.7987,-1525.869966,,24.85,200.80,339.29,0.00,,0.00,0.00,0.00,,,
14,746,conf-746,233.4731,-1526.189967,,12.84,0.00,0.00,1.00,,1.00,233.47,232.67,,,
15,876,conf-876,256.9539,-1525.879727,,20.80,194.68,328.94,0.00,,0.00,0.00,0.00,,,
16,879,conf-879,233.1407,-1526.191721,,12.71,-1.10,-1.86,6.42,,6.40,1496.90,1491.73,,,
17,883,conf-883,254.5614,-1525.911811,,20.06,174.54,294.92,0.00,,0.00,0.00,0.00,,,
18,966,conf-966,224.7404,-1526.062042,,9.45,80.27,135.64,0.00,,0.00,0.00,0.00,,,
19,977,conf-977,224.1486,-1526.202125,,9.21,-7.63,-12.89,396483.80,,395114.73,88871287.76,88564412.92,,,
