,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,235.9107,-1526.179674,203.2,13.87,8.99,15.19,0.00,1.00,0.00,0.00,0.00,230.85,230.29,11.76
1,95,conf-95,238.2513,-1526.179173,,14.71,9.31,15.72,0.00,,0.00,0.00,0.00,,,
2,110,conf-110,227.3871,-1526.186853,,10.64,4.49,7.58,0.00,,0.00,0.12,0.12,,,
3,112,conf-112,234.866,-1526.181194,,13.48,8.04,13.58,0.00,,0.00,0.00,0.00,,,
4,123,conf-123,227.3751,-1526.177299,,10.63,10.48,17.71,0.00,,0.00,0.00,0.00,,,
5,306,conf-306,233.5175,-1526.170702,,12.98,14.62,24.71,0.00,,0.00,0.00,0.00,,,
6,353,conf-353,226.7749,-1526.170909,,10.40,14.49,24.49,0.00,,0.00,0.00,0.00,,,
7,472,conf-472,228.1993,-1526.179576,,10.96,9.05,15.30,0.00,,0.00,0.00,0.00,,,
8,538,conf-538,230.3008,-1526.194003,,11.77,0.00,0.00,1.00,,1.00,230.30,229.74,,,
9,549,conf-549,222.7431,-1526.17381,,8.77,12.67,21.41,0.00,,0.00,0.00,0.00,,,
10,553,conf-553,231.4153,-1526.170838,,12.19,14.54,24.56,0.00,,0.00,0.00,0.00,,,
11,727,conf-727,229.9239,-1526.170927,,11.62,14.48,24.47,0.00,,0.00,0.00,0.00,,,
12,746,conf-746,224.3054,-1526.188078,,9.41,3.72,6.28,0.00,,0.00,0.42,0.42,,,
13,771,conf-771,233.4001,-1526.185004,,12.94,5.65,9.54,0.00,,0.00,0.02,0.02,,,
14,772,conf-772,229.4471,-1526.167775,,11.44,16.46,27.81,0.00,,0.00,0.00,0.00,,,
15,817,conf-817,224.9428,-1526.172821,,9.67,13.29,22.46,0.00,,0.00,0.00,0.00,,,
16,879,conf-879,218.7551,-1526.190027,,7.11,2.50,4.22,0.01,,0.01,3.23,3.22,,,
17,883,conf-883,219.8134,-1526.18601,,7.56,5.02,8.47,0.00,,0.00,0.05,0.05,,,
18,962,conf-962,229.1591,-1526.188258,,11.33,3.61,6.09,0.00,,0.00,0.52,0.52,,,
19,966,conf-966,226.3167,-1526.190146,,10.21,2.42,4.09,0.02,,0.02,3.79,3.78,,,
