,order,file,ave_TM_CS,HF_energy
0,102,conf-102,276.2485,-2053.9919691
1,121,conf-121,298.4141,-2053.8553767000003
2,197,conf-197,308.7269,-2053.8324924000003
3,231,conf-231,256.8309,-2054.0407874
4,234,conf-234,313.4001,-2053.8037685
5,308,conf-308,298.9763,-2053.8091608
6,315,conf-315,253.7285,-2054.0569530000002
7,364,conf-364,324.145,-2053.7992884
8,428,conf-428,322.8173,-2053.803155
9,472,conf-472,255.6367,-2054.0176169
10,549,conf-549,291.3509,-2053.8753087
11,662,conf-662,322.2883,-2053.8009135
12,669,conf-669,312.6435,-2053.8088229
13,746,conf-746,285.39,-2053.9120495
14,796,conf-796,256.7985,-2054.0842527
15,807,conf-807,311.0891,-2053.842847
16,876,conf-876,319.4009,-2053.8002132
17,879,conf-879,276.3936,-2053.9330685
