,order,file,ave_TM_CS,HF_energy
0,34,conf-34,215.5409,-1396.6728858
1,81,conf-81,214.2086,-1396.6725577
2,102,conf-102,211.3546,-1396.6553709
3,123,conf-123,247.6549,-1396.6244033
4,234,conf-234,210.8006,-1396.6878666
5,302,conf-302,214.0716,-1396.6711523
6,370,conf-370,249.49,-1396.6217599000001
7,448,conf-448,214.00599999999997,-1396.6790374000002
8,472,conf-472,249.4277,-1396.6221732000001
9,584,conf-584,212.1731,-1396.673134
10,605,conf-605,226.8924,-1396.6310339000001
11,684,conf-684,238.8606,-1396.6237735
12,731,conf-731,215.9751,-1396.659035
13,746,conf-746,241.1561,-1396.6252068
14,876,conf-876,211.8423,-1396.680645
15,879,conf-879,247.7214,-1396.620035
16,883,conf-883,212.382,-1396.6836894
17,950,conf-950,215.6139,-1396.6679421
18,962,conf-962,217.7427,-1396.6688465999998
19,983,conf-983,234.671,-1396.6341937999998
