,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,276.4117,-2166.267037,234.5,15.16,17.39,29.38,0.00,1.00,0.00,0.00,0.00,275.52,275.52,14.89
1,102,conf-102,254.5069,-2166.255688,,7.86,24.51,41.41,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,272.5604,-2166.241756,,13.96,33.25,56.19,0.00,,0.00,0.00,0.00,,,
3,123,conf-123,307.553,-2166.233418,,23.75,38.48,65.03,0.00,,0.00,0.00,0.00,,,
4,367,conf-367,306.3033,-2166.229789,,23.44,40.76,68.87,0.00,,0.00,0.00,0.00,,,
5,472,conf-472,272.1341,-2166.243343,,13.83,32.26,54.50,0.00,,0.00,0.00,0.00,,,
6,549,conf-549,275.5162,-2166.294748,,14.89,0.00,0.00,1.00,,1.00,275.52,275.52,,,
7,662,conf-662,305.046,-2166.238714,,23.13,35.16,59.41,0.00,,0.00,0.00,0.00,,,
8,669,conf-669,262.3306,-2166.259727,,10.61,21.98,37.13,0.00,,0.00,0.00,0.00,,,
9,684,conf-684,259.0838,-2166.250288,,9.49,27.90,47.14,0.00,,0.00,0.00,0.00,,,
10,746,conf-746,288.1757,-2166.230817,,18.63,40.12,67.78,0.00,,0.00,0.00,0.00,,,
11,876,conf-876,282.5577,-2166.182953,,17.01,70.15,118.53,0.00,,0.00,0.00,0.00,,,
12,883,conf-883,269.348,-2166.248118,,12.94,29.26,49.44,0.00,,0.00,0.00,0.00,,,
13,950,conf-950,305.1925,-2166.23828,,23.16,35.43,59.87,0.00,,0.00,0.00,0.00,,,
14,962,conf-962,263.6486,-2166.262616,,11.06,20.16,34.07,0.00,,0.00,0.00,0.00,,,
15,981,conf-981,259.2189,-2166.241175,,9.54,33.62,56.80,0.00,,0.00,0.00,0.00,,,
