,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,305.5215,-2166.257327,234.5,23.25,15.70,26.53,0.00,1.00,0.00,0.00,0.00,272.62,271.92,13.76
1,102,conf-102,279.1563,-2166.239942,,16.00,26.61,44.96,0.00,,0.00,0.00,0.00,,,
2,156,conf-156,260.9861,-2166.26203,,10.15,12.75,21.54,0.00,,0.00,0.00,0.00,,,
3,197,conf-197,290.7166,-2166.25847,,19.34,14.98,25.32,0.00,,0.00,0.00,0.00,,,
4,288,conf-288,262.5839,-2166.269886,,10.70,7.82,13.21,0.00,,0.00,0.00,0.00,,,
5,315,conf-315,265.4456,-2166.276713,,11.66,3.54,5.98,0.00,,0.00,0.67,0.67,,,
6,472,conf-472,278.085,-2166.269859,,15.67,7.84,13.24,0.00,,0.00,0.00,0.00,,,
7,474,conf-474,308.1343,-2166.268839,,23.90,8.48,14.32,0.00,,0.00,0.00,0.00,,,
8,497,conf-497,272.3594,-2166.265527,,13.90,10.56,17.84,0.00,,0.00,0.00,0.00,,,
9,535,conf-535,260.8499,-2166.249034,,10.10,20.91,35.32,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,271.9385,-2166.282349,,13.77,0.00,0.00,1.00,,1.00,271.94,271.24,,,
11,564,conf-564,263.8918,-2166.270005,,11.14,7.75,13.09,0.00,,0.00,0.00,0.00,,,
12,684,conf-684,296.5562,-2166.272707,,20.93,6.05,10.22,0.00,,0.00,0.01,0.01,,,
13,746,conf-746,311.1714,-2166.247702,,24.64,21.74,36.74,0.00,,0.00,0.00,0.00,,,
14,752,conf-752,288.345,-2166.259743,,18.67,14.19,23.97,0.00,,0.00,0.00,0.00,,,
15,876,conf-876,306.6277,-2166.24581,,23.52,22.93,38.74,0.00,,0.00,0.00,0.00,,,
16,879,conf-879,295.8166,-2166.258709,,20.73,14.83,25.06,0.00,,0.00,0.00,0.00,,,
17,883,conf-883,297.4584,-2166.257771,,21.17,15.42,26.06,0.00,,0.00,0.00,0.00,,,
18,962,conf-962,295.5126,-2166.263283,,20.65,11.96,20.22,0.00,,0.00,0.00,0.00,,,
