,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,341.6968,-2165.951732,234.5,31.37,197.41,333.57,0.00,1.41,0.00,0.00,0.00,418.48,296.89,21.01
1,90,conf-90,305.65,-2165.948431,,23.28,199.49,337.07,0.00,,0.00,0.00,0.00,,,
2,123,conf-123,290.703,-2166.261297,,19.33,3.16,5.34,0.00,,0.00,1.39,0.99,,,
3,126,conf-126,300.1663,-2166.213585,,21.88,33.10,55.93,0.00,,0.00,0.00,0.00,,,
4,197,conf-197,281.4693,-2166.244413,,16.69,13.76,23.25,0.00,,0.00,0.00,0.00,,,
5,234,conf-234,322.0913,-2166.059064,,27.19,130.06,219.77,0.00,,0.00,0.00,0.00,,,
6,242,conf-242,303.9405,-2166.18922,,22.85,48.39,81.76,0.00,,0.00,0.00,0.00,,,
7,433,conf-433,325.0422,-2165.971231,,27.86,185.18,312.89,0.00,,0.00,0.00,0.00,,,
8,448,conf-448,291.7531,-2166.22254,,19.62,27.48,46.44,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,294.2815,-2166.23781,,20.31,17.90,30.25,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,299.6486,-2166.265484,,21.74,0.54,0.90,0.40,,0.29,121.29,86.05,,,
11,669,conf-669,330.2256,-2165.958809,,28.99,192.97,326.06,0.00,,0.00,0.00,0.00,,,
12,684,conf-684,293.6003,-2166.04778,,20.13,137.14,231.73,0.00,,0.00,0.00,0.00,,,
13,746,conf-746,295.8005,-2166.266337,,20.72,0.00,0.00,1.00,,0.71,295.80,209.85,,,
14,747,conf-747,338.654,-2166.015253,,30.76,157.55,266.22,0.00,,0.00,0.00,0.00,,,
15,879,conf-879,316.012,-2165.996919,,25.79,169.06,285.66,0.00,,0.00,0.00,0.00,,,
16,883,conf-883,315.1309,-2165.99691,,25.59,169.07,285.67,0.00,,0.00,0.00,0.00,,,
17,962,conf-962,302.7376,-2166.238869,,22.54,17.24,29.12,0.00,,0.00,0.00,0.00,,,
