,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,266.0829,-2166.341305,234.5,11.87,44.71,75.55,0.00,1.35,0.00,0.00,0.00,368.45,273.70,14.32
1,90,conf-90,283.4784,-2166.359376,,17.28,33.37,56.39,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,274.3502,-2166.412558,,14.53,0.00,0.00,1.00,,0.74,274.35,203.80,,,
3,123,conf-123,264.624,-2166.408066,,11.38,2.82,4.76,0.01,,0.01,2.26,1.68,,,
4,156,conf-156,272.0104,-2166.411534,,13.79,0.64,1.09,0.34,,0.25,91.84,68.22,,,
5,231,conf-231,272.1133,-2166.355205,,13.82,35.99,60.81,0.00,,0.00,0.00,0.00,,,
6,304,conf-304,266.5638,-2166.387846,,12.03,15.51,26.20,0.00,,0.00,0.00,0.00,,,
7,472,conf-472,311.6793,-2166.214645,,24.76,124.19,209.84,0.00,,0.00,0.00,0.00,,,
8,669,conf-669,278.4435,-2166.380187,,15.78,20.31,34.32,0.00,,0.00,0.00,0.00,,,
9,772,conf-772,273.2585,-2166.393085,,14.18,12.22,20.65,0.00,,0.00,0.00,0.00,,,
10,883,conf-883,274.9467,-2166.369764,,14.71,26.85,45.37,0.00,,0.00,0.00,0.00,,,
11,961,conf-961,282.3893,-2166.376061,,16.96,22.90,38.70,0.00,,0.00,0.00,0.00,,,
12,962,conf-962,311.1123,-2166.221539,,24.63,119.86,202.53,0.00,,0.00,0.00,0.00,,,
