,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,269.5871,-2166.364044,234.5,13.02,39.53,66.80,0.00,1.00,0.00,0.00,0.00,260.66,260.66,10.04
1,156,conf-156,264.2481,-2166.396543,,11.26,19.14,32.34,0.00,,0.00,0.00,0.00,,,
2,197,conf-197,296.4749,-2166.372696,,20.90,34.11,57.63,0.00,,0.00,0.00,0.00,,,
3,231,conf-231,270.1184,-2166.347682,,13.19,49.80,84.15,0.00,,0.00,0.00,0.00,,,
4,242,conf-242,269.6935,-2166.361756,,13.05,40.97,69.23,0.00,,0.00,0.00,0.00,,,
5,364,conf-364,302.4055,-2166.377143,,22.46,31.32,52.91,0.00,,0.00,0.00,0.00,,,
6,428,conf-428,276.1688,-2166.380101,,15.09,29.46,49.78,0.00,,0.00,0.00,0.00,,,
7,448,conf-448,269.6541,-2166.367866,,13.04,37.14,62.75,0.00,,0.00,0.00,0.00,,,
8,472,conf-472,255.217,-2166.411346,,8.12,9.85,16.65,0.00,,0.00,0.00,0.00,,,
9,497,conf-497,276.9664,-2166.377587,,15.33,31.04,52.44,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,259.2995,-2166.383479,,9.56,27.34,46.20,0.00,,0.00,0.00,0.00,,,
11,669,conf-669,266.4594,-2166.374904,,11.99,32.72,55.29,0.00,,0.00,0.00,0.00,,,
12,684,conf-684,260.6624,-2166.427048,,10.04,0.00,0.00,1.00,,1.00,260.66,260.66,,,
13,742,conf-742,259.0291,-2166.374841,,9.47,32.76,55.35,0.00,,0.00,0.00,0.00,,,
14,746,conf-746,260.5957,-2166.39288,,10.01,21.44,36.23,0.00,,0.00,0.00,0.00,,,
15,797,conf-797,263.8307,-2166.357414,,11.12,43.70,73.83,0.00,,0.00,0.00,0.00,,,
16,817,conf-817,279.5485,-2166.354658,,16.11,45.42,76.75,0.00,,0.00,0.00,0.00,,,
17,879,conf-879,278.4767,-2166.385994,,15.79,25.76,43.53,0.00,,0.00,0.00,0.00,,,
18,883,conf-883,261.7684,-2166.419799,,10.42,4.55,7.69,0.00,,0.00,0.12,0.12,,,
19,962,conf-962,293.274,-2166.378424,,20.04,30.51,51.56,0.00,,0.00,0.00,0.00,,,
