(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,248.1767,-2054.05599,229.7,7.44,17.85,30.16,0,1,0,0,0,247.15,247.09,7.04
,1,35,conf-35,299.923,-2054.002771,,23.41,51.24,86.58,0,,0,0,0,,,
,2,102,conf-102,261.6749,-2054.006221,,12.22,49.08,82.93,0,,0,0,0,,,
,3,123,conf-123,260.5232,-2054.033752,,11.83,31.8,53.74,0,,0,0,0,,,
,4,217,conf-217,247.7907,-2054.073614,,7.3,6.79,11.47,0,,0,0,0,,,
,5,231,conf-231,264.4597,-2054.020112,,13.14,40.36,68.2,0,,0,0,0,,,
,6,347,conf-347,247.0911,-2054.084432,,7.04,0,0,1,,1,247.09,247.03,,,
,7,370,conf-370,260.0714,-2054.050933,,11.68,21.02,35.52,0,,0,0,0,,,
,8,472,conf-472,273.2773,-2054.014847,,15.95,43.66,73.78,0,,0,0,0,,,
,9,535,conf-535,234.9778,-2054.059018,,2.25,15.95,26.95,0,,0,0,0,,,
,10,549,conf-549,240.0406,-2054.065287,,4.31,12.01,20.3,0,,0,0,0,,,
,11,553,conf-553,245.5009,-2054.049777,,6.44,21.75,36.74,0,,0,0,0,,,
,12,617,conf-617,249.5144,-2054.076592,,7.94,4.92,8.31,0,,0,0.06,0.06,,,
,13,684,conf-684,271.5132,-2054.017017,,15.4,42.3,71.48,0,,0,0,0,,,
,14,727,conf-727,273.1732,-2054.020411,,15.91,40.17,67.88,0,,0,0,0,,,
,15,746,conf-746,255.8834,-2054.045237,,10.23,24.6,41.56,0,,0,0,0,,,
,16,796,conf-796,271.2224,-2054.028242,,15.31,35.26,59.58,0,,0,0,0,,,
,17,797,conf-797,263.7908,-2054.029529,,12.92,34.45,58.21,0,,0,0,0,,,
,18,879,conf-879,252.8469,-2054.063976,,9.15,12.84,21.69,0,,0,0,0,,,
,19,904,conf-904,294.4908,-2054.006708,,22,48.77,82.41,0,,0,0,0,,,
,20,966,conf-966,255.5842,-2054.048485,,10.13,22.56,38.11,0,,0,0,0,,,
