,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,210.7743,-1526.230303,203.5,3.45,0.00,0.00,1.00,1.04,0.96,210.77,202.79,219.26,210.95,3.53
1,90,conf-90,221.0524,-1526.163043,,7.94,42.21,71.31,0.00,,0.00,0.00,0.00,,,
2,123,conf-123,253.23,-1526.092955,,19.64,86.19,145.63,0.00,,0.00,0.00,0.00,,,
3,197,conf-197,247.6302,-1526.181165,,17.82,30.83,52.10,0.00,,0.00,0.00,0.00,,,
4,205,conf-205,238.6183,-1526.171032,,14.72,37.19,62.84,0.00,,0.00,0.00,0.00,,,
5,217,conf-217,264.6453,-1526.058867,,23.10,107.58,181.77,0.00,,0.00,0.00,0.00,,,
6,234,conf-234,229.2062,-1526.214848,,11.22,9.70,16.39,0.00,,0.00,0.00,0.00,,,
7,315,conf-315,213.7487,-1526.223643,,4.79,4.18,7.06,0.00,,0.00,0.18,0.18,,,
8,428,conf-428,225.838,-1526.184119,,9.89,28.98,48.97,0.00,,0.00,0.00,0.00,,,
9,446,conf-446,249.2271,-1526.184065,,18.35,29.01,49.03,0.00,,0.00,0.00,0.00,,,
10,472,conf-472,215.501,-1526.227232,,5.57,1.93,3.26,0.04,,0.04,8.30,7.99,,,
11,474,conf-474,225.6834,-1526.190394,,9.83,25.04,42.31,0.00,,0.00,0.00,0.00,,,
12,549,conf-549,226.864,-1526.206955,,10.30,14.65,24.76,0.00,,0.00,0.00,0.00,,,
13,746,conf-746,220.3102,-1526.189338,,7.63,25.71,43.43,0.00,,0.00,0.00,0.00,,,
14,879,conf-879,210.9947,-1526.187946,,3.55,26.58,44.91,0.00,,0.00,0.00,0.00,,,
15,883,conf-883,223.8286,-1526.217594,,9.08,7.98,13.48,0.00,,0.00,0.00,0.00,,,
16,948,conf-948,208.6395,-1526.216141,,2.46,8.89,15.02,0.00,,0.00,0.00,0.00,,,
17,961,conf-961,215.2768,-1526.225411,,5.47,3.07,5.19,0.01,,0.01,1.20,1.16,,,
