,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,307.9143,-2166.278969,234.5,23.84,5.22,8.82,0.00,1.00,0.00,0.05,0.05,278.88,278.25,15.72
1,126,conf-126,288.6117,-2166.243988,,18.75,27.17,45.91,0.00,,0.00,0.00,0.00,,,
2,156,conf-156,291.5924,-2166.273983,,19.58,8.35,14.11,0.00,,0.00,0.00,0.00,,,
3,304,conf-304,282.8415,-2166.222645,,17.09,40.56,68.54,0.00,,0.00,0.00,0.00,,,
4,306,conf-306,288.2963,-2166.276231,,18.66,6.94,11.73,0.00,,0.00,0.00,0.00,,,
5,446,conf-446,270.9766,-2166.216782,,13.46,44.24,74.76,0.00,,0.00,0.00,0.00,,,
6,472,conf-472,296.9652,-2166.278778,,21.03,5.34,9.02,0.00,,0.00,0.04,0.04,,,
7,578,conf-578,278.1963,-2166.28729,,15.71,0.00,0.00,1.00,,1.00,278.20,277.56,,,
8,669,conf-669,287.8008,-2166.278036,,18.52,5.81,9.81,0.00,,0.00,0.02,0.02,,,
9,684,conf-684,301.2549,-2166.281373,,22.16,3.71,6.27,0.00,,0.00,0.57,0.57,,,
10,771,conf-771,326.1897,-2166.216241,,28.11,44.58,75.33,0.00,,0.00,0.00,0.00,,,
11,883,conf-883,281.4522,-2166.260746,,16.68,16.66,28.14,0.00,,0.00,0.00,0.00,,,
12,896,conf-896,277.5181,-2166.278289,,15.50,5.65,9.54,0.00,,0.00,0.02,0.02,,,
13,950,conf-950,299.2828,-2166.217048,,21.65,44.08,74.48,0.00,,0.00,0.00,0.00,,,
14,961,conf-961,292.0895,-2166.271763,,19.72,9.74,16.46,0.00,,0.00,0.00,0.00,,,
15,962,conf-962,293.0881,-2166.263121,,19.99,15.17,25.63,0.00,,0.00,0.00,0.00,,,
16,966,conf-966,303.6074,-2166.270158,,22.76,10.75,18.16,0.00,,0.00,0.00,0.00,,,
