,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,14,conf-14,247.3237,-1526.188785,203.5,17.72,32.32,54.61,0.00,1.00,0.00,0.00,0.00,227.54,227.41,10.52
1,28,conf-28,255.8344,-1526.128636,,20.46,70.06,118.38,0.00,,0.00,0.00,0.00,,,
2,197,conf-197,221.8373,-1526.179181,,8.27,38.35,64.79,0.00,,0.00,0.00,0.00,,,
3,217,conf-217,227.4197,-1526.24029,,10.52,0.00,0.00,1.00,,1.00,227.42,227.29,,,
4,222,conf-222,229.1373,-1526.209774,,11.19,19.15,32.36,0.00,,0.00,0.00,0.00,,,
5,234,conf-234,214.5192,-1526.204902,,5.14,22.21,37.52,0.00,,0.00,0.00,0.00,,,
6,306,conf-306,249.8519,-1526.190421,,18.55,31.29,52.88,0.00,,0.00,0.00,0.00,,,
7,446,conf-446,224.2995,-1526.200529,,9.27,24.95,42.16,0.00,,0.00,0.00,0.00,,,
8,448,conf-448,223.214,-1526.195121,,8.83,28.34,47.89,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,244.2441,-1526.199616,,16.68,25.52,43.13,0.00,,0.00,0.00,0.00,,,
10,474,conf-474,244.6684,-1526.186692,,16.83,33.63,56.83,0.00,,0.00,0.00,0.00,,,
11,549,conf-549,218.5282,-1526.233221,,6.88,4.44,7.49,0.00,,0.00,0.12,0.12,,,
12,669,conf-669,218.9508,-1526.163926,,7.06,47.92,80.97,0.00,,0.00,0.00,0.00,,,
13,684,conf-684,229.5617,-1526.226374,,11.35,8.73,14.76,0.00,,0.00,0.00,0.00,,,
14,879,conf-879,227.3271,-1526.206925,,10.48,20.94,35.38,0.00,,0.00,0.00,0.00,,,
