,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,21,conf-21,218.114,-1526.216918,203.5,6.70,9.17,15.50,0.00,1.01,0.00,0.00,0.00,221.93,219.77,7.40
1,34,conf-34,219.814,-1526.231532,,7.42,0.00,0.00,1.00,,0.99,219.81,217.68,,,
2,102,conf-102,214.0233,-1526.216121,,4.92,9.67,16.34,0.00,,0.00,0.00,0.00,,,
3,123,conf-123,228.4403,-1526.153839,,10.92,48.75,82.38,0.00,,0.00,0.00,0.00,,,
4,197,conf-197,257.8162,-1526.022952,,21.07,130.88,221.15,0.00,,0.00,0.00,0.00,,,
5,217,conf-217,223.1168,-1526.211998,,8.79,12.26,20.71,0.00,,0.00,0.00,0.00,,,
6,234,conf-234,219.1602,-1526.215604,,7.15,10.00,16.89,0.00,,0.00,0.00,0.00,,,
7,306,conf-306,217.8295,-1526.197773,,6.58,21.18,35.79,0.00,,0.00,0.00,0.00,,,
8,472,conf-472,223.6156,-1526.202983,,9.00,17.92,30.27,0.00,,0.00,0.00,0.00,,,
9,474,conf-474,217.6868,-1526.216605,,6.52,9.37,15.83,0.00,,0.00,0.00,0.00,,,
10,497,conf-497,218.3235,-1526.212721,,6.79,11.80,19.95,0.00,,0.00,0.00,0.00,,,
11,549,conf-549,215.4103,-1526.227169,,5.53,2.74,4.63,0.01,,0.01,2.11,2.09,,,
12,669,conf-669,214.5166,-1526.22123,,5.14,6.46,10.92,0.00,,0.00,0.00,0.00,,,
13,696,conf-696,223.2374,-1526.219324,,8.84,7.66,12.94,0.00,,0.00,0.00,0.00,,,
14,720,conf-720,248.3759,-1526.118647,,18.07,70.84,119.69,0.00,,0.00,0.00,0.00,,,
15,746,conf-746,258.1849,-1526.04986,,21.18,114.00,192.62,0.00,,0.00,0.00,0.00,,,
16,876,conf-876,223.5476,-1526.209232,,8.97,13.99,23.64,0.00,,0.00,0.00,0.00,,,
17,879,conf-879,250.4128,-1526.06016,,18.73,107.54,181.70,0.00,,0.00,0.00,0.00,,,
18,962,conf-962,223.3282,-1526.215605,,8.88,9.99,16.89,0.00,,0.00,0.00,0.00,,,
19,981,conf-981,217.9132,-1526.209361,,6.61,13.91,23.51,0.00,,0.00,0.00,0.00,,,
