,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,95,conf-95,257.3922,-2053.963727,229.7,10.76,3.97,6.71,0,1.04,0,0.31,0.3,265.18,255.21,9.99
1,123,conf-123,295.7665,-2053.940698,,22.34,18.42,31.12,0,,0,0,0,,,
2,197,conf-197,280.6886,-2053.955415,,18.17,9.19,15.52,0,,0,0,0,,,
3,234,conf-234,260.8725,-2053.966684,,11.95,2.11,3.57,0.03,,0.03,7.33,7.06,,,
4,367,conf-367,255.0114,-2053.970053,,9.93,0,0,1,,0.96,255.01,245.42,,,
5,472,conf-472,252.984,-2053.959411,,9.2,6.68,11.28,0,,0,0,0,,,
6,474,conf-474,266.2949,-2053.953389,,13.74,10.46,17.67,0,,0,0,0,,,
7,497,conf-497,287.8209,-2053.947073,,20.19,14.42,24.37,0,,0,0,0,,,
8,538,conf-538,272.8299,-2053.947939,,15.81,13.88,23.45,0,,0,0,0,,,
9,549,conf-549,293.0005,-2053.94772,,21.6,14.01,23.68,0,,0,0,0,,,
10,584,conf-584,258.1194,-2053.963083,,11.01,4.37,7.39,0,,0,0.16,0.15,,,
11,662,conf-662,265.373,-2053.964333,,13.44,3.59,6.06,0,,0,0.62,0.59,,,
12,669,conf-669,271.9306,-2053.947672,,15.53,14.04,23.73,0,,0,0,0,,,
13,684,conf-684,274.5795,-2053.96109,,16.34,5.62,9.5,0,,0,0.02,0.02,,,
14,749,conf-749,263.4527,-2053.958482,,12.81,7.26,12.27,0,,0,0,0,,,
15,807,conf-807,256.0338,-2053.965333,,10.29,2.96,5,0.01,,0.01,1.72,1.65,,,
16,879,conf-879,262.5112,-2053.963741,,12.5,3.96,6.69,0,,0,0.33,0.31,,,
17,961,conf-961,283.4757,-2053.954465,,18.97,9.78,16.53,0,,0,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,pro10,,,,
,,,9.99,12.61,15.82,13.32,8.19,7.62,16.07,14.11,11.13,15.28,,,,
