,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,305.0245,-2166.377539,234.5,23.12,13.92,23.51,0.00,1.00,0.00,0.00,0.00,263.90,263.82,11.11
1,126,conf-126,291.291,-2166.34094,,19.50,36.88,62.32,0.00,,0.00,0.00,0.00,,,
2,156,conf-156,292.6693,-2166.366933,,19.88,20.57,34.76,0.00,,0.00,0.00,0.00,,,
3,304,conf-304,277.8305,-2166.340545,,15.60,37.13,62.74,0.00,,0.00,0.00,0.00,,,
4,306,conf-306,287.4429,-2166.375514,,18.42,15.19,25.66,0.00,,0.00,0.00,0.00,,,
5,446,conf-446,278.4182,-2166.384509,,15.77,9.54,16.12,0.00,,0.00,0.00,0.00,,,
6,472,conf-472,289.4332,-2166.385505,,18.98,8.92,15.07,0.00,,0.00,0.00,0.00,,,
7,578,conf-578,263.8141,-2166.399716,,11.11,0.00,0.00,1.00,,1.00,263.81,263.73,,,
8,669,conf-669,283.9758,-2166.387684,,17.42,7.55,12.76,0.00,,0.00,0.00,0.00,,,
9,684,conf-684,278.3442,-2166.392126,,15.75,4.76,8.05,0.00,,0.00,0.09,0.09,,,
10,771,conf-771,325.0176,-2166.313883,,27.85,53.86,91.01,0.00,,0.00,0.00,0.00,,,
11,883,conf-883,275.2312,-2166.370901,,14.80,18.08,30.55,0.00,,0.00,0.00,0.00,,,
12,896,conf-896,285.2322,-2166.346568,,17.79,33.35,56.35,0.00,,0.00,0.00,0.00,,,
13,950,conf-950,291.3019,-2166.329594,,19.50,44.00,74.35,0.00,,0.00,0.00,0.00,,,
14,961,conf-961,288.8854,-2166.380144,,18.83,12.28,20.75,0.00,,0.00,0.00,0.00,,,
15,962,conf-962,274.6646,-2166.38561,,14.62,8.85,14.96,0.00,,0.00,0.00,0.00,,,
16,966,conf-966,292.0461,-2166.368244,,19.70,19.75,33.37,0.00,,0.00,0.00,0.00,,,
