,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,95,conf-95,257.4272,-2054.062431,229.7,10.77,22.58,38.16,0.00,1.00,0.00,0.00,0.00,244.55,244.51,6.06
1,123,conf-123,276.799,-2054.046544,,17.02,32.55,55.00,0.00,,0.00,0.00,0.00,,,
2,197,conf-197,256.926,-2054.072764,,10.60,16.10,27.20,0.00,,0.00,0.00,0.00,,,
3,234,conf-234,255.0076,-2054.080821,,9.92,11.04,18.66,0.00,,0.00,0.00,0.00,,,
4,367,conf-367,240.8112,-2054.085506,,4.61,8.10,13.69,0.00,,0.00,0.00,0.00,,,
5,472,conf-472,237.8543,-2054.090096,,3.43,5.22,8.83,0.00,,0.00,0.03,0.03,,,
6,474,conf-474,262.0705,-2054.054,,12.35,27.87,47.10,0.00,,0.00,0.00,0.00,,,
7,497,conf-497,279.6266,-2054.048319,,17.85,31.44,53.12,0.00,,0.00,0.00,0.00,,,
8,538,conf-538,256.6997,-2054.063337,,10.52,22.01,37.20,0.00,,0.00,0.00,0.00,,,
9,549,conf-549,283.0275,-2054.04833,,18.84,31.43,53.11,0.00,,0.00,0.00,0.00,,,
10,584,conf-584,248.8893,-2054.08237,,7.71,10.07,17.02,0.00,,0.00,0.00,0.00,,,
11,662,conf-662,258.8601,-2054.080098,,11.26,11.50,19.43,0.00,,0.00,0.00,0.00,,,
12,669,conf-669,266.4314,-2054.057982,,13.79,25.37,42.88,0.00,,0.00,0.00,0.00,,,
13,684,conf-684,262.8761,-2054.078056,,12.62,12.78,21.59,0.00,,0.00,0.00,0.00,,,
14,749,conf-749,246.1156,-2054.078373,,6.67,12.58,21.25,0.00,,0.00,0.00,0.00,,,
15,807,conf-807,244.5136,-2054.09842,,6.06,0.00,0.00,1.00,,1.00,244.51,244.48,,,
16,879,conf-879,260.2667,-2054.068645,,11.74,18.68,31.57,0.00,,0.00,0.00,0.00,,,
17,961,conf-961,256.6403,-2054.075311,,10.50,14.50,24.50,0.00,,0.00,0.00,0.00,,,
