,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
18,883,conf-883,256.2872,-2166.320218,234.5,8.50,0.00,0.00,1.00,1.00,1.00,256.29,256.29,256.29,256.29,8.50
10,549,conf-549,262.0616,-2166.27365,,10.52,29.22,49.38,0.00,,0.00,0.00,0.00,,,
11,669,conf-669,263.1895,-2166.284007,,10.90,22.72,38.39,0.00,,0.00,0.00,0.00,,,
7,448,conf-448,268.0808,-2166.277086,,12.53,27.07,45.73,0.00,,0.00,0.00,0.00,,,
14,746,conf-746,268.6531,-2166.272679,,12.71,29.83,50.40,0.00,,0.00,0.00,0.00,,,
12,684,conf-684,270.1668,-2166.296887,,13.20,14.64,24.74,0.00,,0.00,0.00,0.00,,,
13,742,conf-742,272.1265,-2166.279114,,13.83,25.79,43.58,0.00,,0.00,0.00,0.00,,,
1,156,conf-156,273.9096,-2166.288821,,14.39,19.70,33.29,0.00,,0.00,0.00,0.00,,,
3,231,conf-231,275.1155,-2166.260542,,14.76,37.45,63.27,0.00,,0.00,0.00,0.00,,,
4,242,conf-242,275.1733,-2166.2557,,14.78,40.49,68.41,0.00,,0.00,0.00,0.00,,,
6,428,conf-428,278.5517,-2166.270417,,15.81,31.25,52.80,0.00,,0.00,0.00,0.00,,,
17,879,conf-879,280.9348,-2166.279857,,16.53,25.33,42.79,0.00,,0.00,0.00,0.00,,,
16,817,conf-817,282.2847,-2166.278371,,16.93,26.26,44.37,0.00,,0.00,0.00,0.00,,,
15,797,conf-797,284.856,-2166.276531,,17.68,27.41,46.32,0.00,,0.00,0.00,0.00,,,
9,497,conf-497,291.8611,-2166.239925,,19.65,50.38,85.13,0.00,,0.00,0.00,0.00,,,
19,962,conf-962,295.6531,-2166.278604,,20.68,26.11,44.12,0.00,,0.00,0.00,0.00,,,
2,197,conf-197,298.7812,-2166.267648,,21.51,32.99,55.74,0.00,,0.00,0.00,0.00,,,
0,34,conf-34,304.6522,-2166.222404,,23.03,61.38,103.71,0.00,,0.00,0.00,0.00,,,
5,364,conf-364,313.7903,-2166.230082,,25.27,56.56,95.57,0.00,,0.00,0.00,0.00,,,
8,472,conf-472,315.6584,-2166.232967,,25.71,54.75,92.51,0.00,,0.00,0.00,0.00,,,
