,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,14,conf-14,268.7461,-2166.352394,234.5,12.74,44.55,75.27,0.00,1.00,0.00,0.00,0.00,269.47,269.47,12.98
1,34,conf-34,295.0139,-2166.372187,,20.51,32.13,54.28,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,268.7026,-2166.349228,,12.73,46.53,78.63,0.00,,0.00,0.00,0.00,,,
3,472,conf-472,267.0084,-2166.381438,,12.18,26.32,44.48,0.00,,0.00,0.00,0.00,,,
4,474,conf-474,279.9509,-2166.372025,,16.24,32.23,54.46,0.00,,0.00,0.00,0.00,,,
5,497,conf-497,317.0253,-2166.207837,,26.03,135.26,228.54,0.00,,0.00,0.00,0.00,,,
6,553,conf-553,269.4703,-2166.423385,,12.98,0.00,0.00,1.00,,1.00,269.47,269.47,,,
7,669,conf-669,245.0218,-2166.39729,,4.29,16.37,27.67,0.00,,0.00,0.00,0.00,,,
8,684,conf-684,272.9633,-2166.365065,,14.09,36.60,61.84,0.00,,0.00,0.00,0.00,,,
9,705,conf-705,267.2951,-2166.372631,,12.27,31.85,53.81,0.00,,0.00,0.00,0.00,,,
10,879,conf-879,311.4854,-2166.231821,,24.72,120.21,203.11,0.00,,0.00,0.00,0.00,,,
11,883,conf-883,281.9802,-2166.392262,,16.84,19.53,33.00,0.00,,0.00,0.00,0.00,,,
12,950,conf-950,283.8545,-2166.383346,,17.39,25.12,42.45,0.00,,0.00,0.00,0.00,,,
13,962,conf-962,274.8933,-2166.38334,,14.69,25.13,42.46,0.00,,0.00,0.00,0.00,,,
