,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,341.6968,-2166.048291,234.5,31.37,210.74,356.09,0.00,1.00,0.00,0.00,0.00,281.16,281.16,16.59
1,90,conf-90,297.4008,-2166.091109,,21.15,183.87,310.69,0.00,,0.00,0.00,0.00,,,
2,123,conf-123,279.9434,-2166.369729,,16.23,9.04,15.27,0.00,,0.00,0.00,0.00,,,
3,126,conf-126,298.3317,-2166.303608,,21.40,50.53,85.38,0.00,,0.00,0.00,0.00,,,
4,197,conf-197,277.1167,-2166.298457,,15.38,53.76,90.84,0.00,,0.00,0.00,0.00,,,
5,234,conf-234,316.1145,-2166.175598,,25.82,130.86,221.11,0.00,,0.00,0.00,0.00,,,
6,242,conf-242,247.3489,-2166.346899,,5.19,23.37,39.48,0.00,,0.00,0.00,0.00,,,
7,433,conf-433,318.5583,-2166.111291,,26.39,171.21,289.29,0.00,,0.00,0.00,0.00,,,
8,448,conf-448,289.9561,-2166.337196,,19.13,29.45,49.77,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,283.0256,-2166.31451,,17.15,43.69,73.82,0.00,,0.00,0.00,0.00,,,
10,549,conf-549,286.7698,-2166.364233,,18.23,12.49,21.10,0.00,,0.00,0.00,0.00,,,
11,669,conf-669,330.2256,-2166.064022,,28.99,200.87,339.41,0.00,,0.00,0.00,0.00,,,
12,684,conf-684,281.1558,-2166.384135,,16.59,0.00,0.00,1.00,,1.00,281.16,281.16,,,
13,746,conf-746,292.3331,-2166.367274,,19.78,10.58,17.88,0.00,,0.00,0.00,0.00,,,
14,747,conf-747,338.654,-2166.113971,,30.76,169.53,286.45,0.00,,0.00,0.00,0.00,,,
15,879,conf-879,304.4543,-2166.15626,,22.98,142.99,241.61,0.00,,0.00,0.00,0.00,,,
16,883,conf-883,326.4162,-2166.04252,,28.16,214.36,362.21,0.00,,0.00,0.00,0.00,,,
17,962,conf-962,277.0549,-2166.381215,,15.36,1.83,3.10,0.05,,0.05,12.53,12.53,,,
