,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
8,302,conf-302,210.5858,-1526.218638,203.2,3.51,19.38,32.75,0.00,1.00,0.00,0.00,0.00,213.81,213.81,4.96
19,883,conf-883,213.8142,-1526.249529,,4.96,0.00,0.00,1.00,,1.00,213.81,213.81,,,
1,34,conf-34,214.1463,-1526.214122,,5.11,22.22,37.54,0.00,,0.00,0.00,0.00,,,
5,137,conf-137,214.1774,-1526.22087,,5.13,17.98,30.39,0.00,,0.00,0.00,0.00,,,
16,684,conf-684,216.2291,-1526.232721,,6.03,10.55,17.82,0.00,,0.00,0.00,0.00,,,
11,315,conf-315,216.5029,-1526.223714,,6.14,16.20,27.37,0.00,,0.00,0.00,0.00,,,
6,234,conf-234,217.325,-1526.221003,,6.50,17.90,30.25,0.00,,0.00,0.00,0.00,,,
20,961,conf-961,217.6274,-1526.229305,,6.63,12.69,21.44,0.00,,0.00,0.00,0.00,,,
7,273,conf-273,218.0612,-1526.230368,,6.82,12.02,20.32,0.00,,0.00,0.00,0.00,,,
4,123,conf-123,219.4795,-1526.205801,,7.42,27.44,46.36,0.00,,0.00,0.00,0.00,,,
13,474,conf-474,221.071,-1526.224399,,8.08,15.77,26.64,0.00,,0.00,0.00,0.00,,,
3,122,conf-122,221.1791,-1526.212522,,8.13,23.22,39.24,0.00,,0.00,0.00,0.00,,,
14,535,conf-535,221.5693,-1526.207877,,8.29,26.14,44.16,0.00,,0.00,0.00,0.00,,,
12,472,conf-472,223.6285,-1526.208055,,9.14,26.03,43.97,0.00,,0.00,0.00,0.00,,,
17,797,conf-797,224.0222,-1526.22448,,9.29,15.72,26.56,0.00,,0.00,0.00,0.00,,,
2,102,conf-102,225.8038,-1526.197153,,10.01,32.87,55.53,0.00,,0.00,0.00,0.00,,,
18,879,conf-879,231.7106,-1526.201818,,12.30,29.94,50.59,0.00,,0.00,0.00,0.00,,,
9,304,conf-304,236.3023,-1526.205718,,14.01,27.49,46.45,0.00,,0.00,0.00,0.00,,,
10,306,conf-306,244.0154,-1526.184857,,16.73,40.58,68.57,0.00,,0.00,0.00,0.00,,,
15,549,conf-549,248.1,-1526.188381,,18.10,38.37,64.83,0.00,,0.00,0.00,0.00,,,
0,14,conf-14,251.8892,-1526.193568,,19.33,35.12,59.33,0.00,,0.00,0.00,0.00,,,
