,order,file,ave_TM_CS,HF_energy
0,14,conf-14,466.0616,-3473.5731188
1,102,conf-102,454.0731,-3473.595269
2,137,conf-137,393.667,-3473.7989414
3,172,conf-172,465.0879,-3473.5768254
4,196,conf-196,459.3603,-3473.5628468
5,217,conf-217,450.7938,-3473.6351321
6,234,conf-234,372.6922,-3473.826194
7,367,conf-367,397.7611,-3473.8281848
8,538,conf-538,467.3624,-3473.581491
9,879,conf-879,400.9273,-3473.789603
10,883,conf-883,467.9867,-3473.6018206
