(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,221.3511,-1526.301485,203.2,8.2,0.24,0.4,0.67,1.67,0.4,147.87,88.65,369.19,221.33,8.19
,1,95,conf-95,226.5135,-1526.281785,,10.29,12.6,21.29,0,,0,0,0,,,
,2,112,conf-112,224.9198,-1526.28044,,9.66,13.44,22.72,0,,0,0,0,,,
,3,123,conf-123,235.1497,-1526.273861,,13.59,17.57,29.69,0,,0,0,0,,,
,4,126,conf-126,230.3044,-1526.272762,,11.77,18.26,30.86,0,,0,0,0,,,
,5,156,conf-156,221.3204,-1526.301866,,8.19,0,0,1,,0.6,221.32,132.68,,,
,6,222,conf-222,228.846,-1526.275959,,11.21,16.26,27.47,0,,0,0,0,,,
,7,231,conf-231,227.7161,-1526.260982,,10.77,25.65,43.35,0,,0,0,0,,,
,8,446,conf-446,218.7218,-1526.290057,,7.1,7.41,12.52,0,,0,0,0,,,
,9,472,conf-472,233.935,-1526.274775,,13.14,17,28.72,0,,0,0,0,,,
,10,474,conf-474,221.398,-1526.28886,,8.22,8.16,13.79,0,,0,0,0,,,
,11,538,conf-538,224.2895,-1526.280838,,9.4,13.2,22.3,0,,0,0,0,,,
,12,549,conf-549,225.6665,-1526.277899,,9.96,15.04,25.41,0,,0,0,0,,,
,13,578,conf-578,235.774,-1526.261659,,13.82,25.23,42.63,0,,0,0,0,,,
,14,807,conf-807,224.7,-1526.273801,,9.57,17.61,29.76,0,,0,0,0,,,
,15,879,conf-879,230.7941,-1526.284866,,11.96,10.67,18.02,0,,0,0,0,,,
,16,883,conf-883,237.4165,-1526.254363,,14.41,29.81,50.37,0,,0,0,0,,,
