,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
0,34,conf-34,267.7933,-2166.25921,234.5,12.43,27.88,47.10,0.00,1.00,0.00,0.00,0.00,270.56,269.72,13.06
1,90,conf-90,285.1725,-2166.257171,,17.77,29.16,49.27,0.00,,0.00,0.00,0.00,,,
2,112,conf-112,281.0323,-2166.286628,,16.56,10.67,18.03,0.00,,0.00,0.00,0.00,,,
3,123,conf-123,271.3385,-2166.298195,,13.58,3.41,5.77,0.00,,0.00,0.85,0.84,,,
4,156,conf-156,269.7165,-2166.303637,,13.06,0.00,0.00,1.00,,1.00,269.72,268.88,,,
5,231,conf-231,272.1334,-2166.247812,,13.83,35.03,59.19,0.00,,0.00,0.00,0.00,,,
6,304,conf-304,265.1734,-2166.281008,,11.57,14.20,23.99,0.00,,0.00,0.00,0.00,,,
7,472,conf-472,311.3614,-2166.126501,,24.69,111.15,187.81,0.00,,0.00,0.00,0.00,,,
8,669,conf-669,285.576,-2166.270141,,17.89,21.02,35.51,0.00,,0.00,0.00,0.00,,,
9,772,conf-772,275.5331,-2166.281931,,14.89,13.62,23.01,0.00,,0.00,0.00,0.00,,,
10,883,conf-883,278.9261,-2166.257751,,15.93,28.79,48.65,0.00,,0.00,0.00,0.00,,,
11,961,conf-961,295.1491,-2166.276701,,20.55,16.90,28.56,0.00,,0.00,0.00,0.00,,,
12,962,conf-962,311.1123,-2166.118331,,24.63,116.28,196.47,0.00,,0.00,0.00,0.00,,,
